STUDENT,YEAR,COURSE,SCHOOL YR,SEMESTER,LECTURE DAYS,LECTURE HRS,DISCUSSION DAY,DISCUSSION HR,PS 1,PS 2,PS 3,LE1,LE2,LE3,LE4,Fi0l Grade,Numerical,,,,,,,,,,
1,2023,BS CS,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,22,13,28,13,8,17,0,51.93,3.00,,,,,,,,,,
2,2024,BS ChE,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,19,18,25,25,18,21,19,76.06,1.75,,,,,,,,,,
3,2023,BS Bio,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,20,21,26,25,20,15,23,79.11,1.75,,,,,,,,,,
4,2024,BS CoE,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,16,25,26,18,16,15,16,64.11,2.50,,,,,,,,,,
5,2024,BS CoE,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,19,23,18,19,20,16,20,70.83,2.00,,,,,,,,,,
7,2024,BS EE,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,27,27,27,20,21,20,18,73.87,2.00,,,,,,,,,,
8,2024,BS ChE,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,23,22,26,22,21,11,16,70.83,2.00,,,,,,,,,,
9,2023,BS Arch,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,23,27,18,21,22,20,24,78.39,1.75,,,,,,,,,,
10,2024,BS ChE,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,27,21,24,20,21,16,21,74.59,2.00,,,,,,,,,,
11,2024,BS EE,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,22,22,25,19,20,16,16,68.50,2.25,,,,,,,,,,
12,2024,BS ChE,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,23,24,29,24,19,15,20,75.94,1.75,,,,,,,,,,
13,2024,BS ECE,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,16,22,21,21,16,17,0,62.93,2.50,,,,,,,,,,
14,2024,BS ECE,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,15,9,17,18,22,13,16,65.70,2.25,,,,,,,,,,
15,2024,BS CoE,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,0,7,0,0,0,0,0,5.15,5.00,,,,,,,,,,
16,2024,BS CoE,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,23,20,26,20,21,12,13,64.52,2.50,,,,,,,,,,
17,2024,BS EE,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,23,20,20,23,20,22,19,76.17,1.75,,,,,,,,,,
18,2023,BS Geol,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,29,28,30,23,17,19,20,76.33,1.75,,,,,,,,,,
19,2024,BS EE,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,29,29,28,26,25,23,24,87.06,1.25,,,,,,,,,,
20,2024,BS EE,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,17,0,0,10,11,0,0,24.72,5.00,,,,,,,,,,
21,2024,BS ChE,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,25,29,30,17,15,14,0,61.93,2.50,,,,,,,,,,
22,2023,BS Bio,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,21,16,9,22,19,12,17,67.67,2.25,,,,,,,,,,
23,2024,BS EE,2024-2025,1st,"W,F",7:00-8:30,T,7:00-8:00,25,19,26,18,18,13,20,69.44,2.25,,,,,,,,,,
24,2022,BS CE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,17,21,0,14,10,12,9,46.78,4.00,,,,,,,,,,
25,2024,BS EE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,18,22,28,15,14,11,17,59.82,2.75,,,,,,,,,,
26,2024,BS ECE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,26,25,28,21,23,16,19,75.34,1.75,,,,,,,,,,
27,2024,BS CoE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,21,1,20,17,17,14,0,56.40,2.75,,,,,,,,,,
28,2024,BS ECE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,29,26,30,17,12,16,15,64.21,2.50,,,,,,,,,,
29,2024,BS ECE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,25,21,22,16,12,10,15,53.86,3.00,,,,,,,,,,
30,2024,BS ECE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,24,30,26,16,15,0,14,59.39,2.75,,,,,,,,,,
31,2024,BS CoE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,12,15,16,0,16,12,10,44.61,5.00,,,,,,,,,,
32,2024,BS ECE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,23,19,21,25,18,21,23,78.60,1.75,,,,,,,,,,
33,2024,BS CoE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,24,25,28,18,11,16,10,61.06,2.50,,,,,,,,,,
34,2024,BS ECE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,22,24,22,28,22,14,19,80.06,1.50,,,,,,,,,,
35,2024,BS IE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,22,20,28,21,16,18,20,70.84,2.00,,,,,,,,,,
36,2024,BS ChE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,24,20,24,25,24,21,0,81.29,1.50,,,,,,,,,,
37,2024,BS CoE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,18,24,24,25,19,21,25,81.10,1.50,,,,,,,,,,
38,2022,BS CS,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,21,21,26,9,7,8,0,41.81,5.00,,,,,,,,,,
39,2024,BS ECE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,29,27,24,25,20,20,20,78.06,1.75,,,,,,,,,,
40,2024,BS ChE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,22,26,24,24,22,16,22,78.10,1.75,,,,,,,,,,
41,2024,BS EE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,28,13,2,25,14,19,21,71.24,2.00,,,,,,,,,,
42,2024,BS ECE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,23,8,23,19,19,13,19,66.13,2.25,,,,,,,,,,
43,2024,BS ChE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,27,26,27,20,18,12,20,72.22,2.00,,,,,,,,,,
44,2024,BS ECE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,28,27,28,25,22,20,23,82.96,1.50,,,,,,,,,,
45,2024,BS ECE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,24,25,27,18,15,12,13,61.14,2.50,,,,,,,,,,
46,2024,BS EE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,19,22,20,16,18,15,0,59.68,2.75,,,,,,,,,,
47,2024,BS ECE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,23,26,29,17,9,17,16,65.33,2.25,,,,,,,,,,
48,2024,BS ChE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,23,21,27,19,18,14,23,73.39,2.00,,,,,,,,,,
49,2024,BS ChE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,21,20,28,11,15,12,11,54.33,3.00,,,,,,,,,,
50,2024,BS ECE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,28,26,28,22,15,18,10,68.84,2.25,,,,,,,,,,
51,2024,BS CE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,29,25,29,16,17,17,14,64.70,2.50,,,,,,,,,,
52,2024,BS ChE,2024-2025,1st,"W,F",8:30-10:00,T,8:45-9:45,24,23,24,28,21,22,0,81.57,1.50,,,,,,,,,,
53,2022,BS MBB,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,30,29,26,23,22,23,24,83.33,1.50,,,,,,,,,,
54,2022,BS Arch,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,22,3,28,14,13,16,18,57.49,2.75,,,,,,,,,,
55,2022,BS MBB,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,26,29,29,23,25,22,27,87.50,1.25,,,,,,,,,,
56,2022,BS Chem,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,23,1,17,18,13,12,14,53.56,3.00,,,,,,,,,,
57,2022,BS Chem,2023-2024,1st,"T,Th",7:00-8:30,W,7:00-8:00,25,27,20,21,19,19,21,72.77,2.00,,,,,,,,,,
